id;name;latin;category;section;price;currency;availability;status;url;image;image_2;image_3;period;age;location;size;description
R-0278;Шар из метеорита Алетай;Aletai Iron;Метеориты;Космос;901500;RUB;in stock;В наличии;https://relictum.gallery/objects/0278-aletai-sphere.html;https://relictum.gallery/shared/img/ph_met_aletai_sphere.jpg;https://relictum.gallery/shared/img/int_ph_met_aletai_sphere.jpg;https://relictum.gallery/shared/img/g_aletai_sphere_260921110612.jpg;До зарождения жизни;≈ 4,5 млрд лет;Алтайские горы, Китай;Вес 3 005 г;У шара нет ни одной плоской грани, и узор Видманштеттена замыкается по всей окружности. Кристаллы, которые он показывает, росли в ядре протопланеты, пока то остывало. Алетай — железный метеорит, один из крупнейших известных на Земле. Его фрагменты найдены в китайской части Алтайских гор и разбросаны на территории протяжённостью более четырёхсот километров: это крупнейшее известное метеоритное поле рассеяния. Общий вес собранного материала превышает семьдесят четыре тонны. При полировке в металле проявляется узор Видманштеттена — рисунок из кристаллов никелистого железа. Он формируется только при чрезвычайно медленном остывании, на градус за миллион лет, в недрах космического тела. Повторить его на Земле невозможно.
R-0610;Скелет пситтакозавра;Psittacosaurus sp.;Динозавры;Монументы;12500000;RUB;in stock;В наличии;https://relictum.gallery/objects/0610-psittacosaurus-skeleton.html;https://relictum.gallery/shared/img/ph_psittacosaurus_skeleton.jpg;https://relictum.gallery/shared/img/int_ph_psittacosaurus_skeleton.jpg;https://relictum.gallery/shared/img/gal_yakimanka_6.jpg;Меловой период;≈ 125 млн лет;Провинция Ляонин, Китай;Скелет 168 см;"Psittacosaurus жил около 125 миллионов лет назад в меловых лесах Азии, среди гинкго, хвойных, саговников и папоротников. Один из самых ранних и самых многочисленных цератопсов: он ходил на длинных задних ногах, жил группами, рыл норы и заботился о потомстве. Клювовидные челюсти и высокий короткий череп дали роду имя «попугайный ящер». Тело покрывала чешуя, по хвосту шла жёсткая щетина, а бурая спина с тёмными пятнами при светлом брюхе служила лесным камуфляжем; взрослый зверь достигал двух метров при весе около двадцати килограммов. Экземпляр крупный для своего рода, а комплектность скелета превышает 95 процентов — показатель, редкий даже для музейных монтажей динозавров."
R-0279;Малый шар из метеорита Алетай;Aletai Iron;Метеориты;Космос;80000;RUB;in stock;В наличии;https://relictum.gallery/objects/0279-aletai-spheres-small.html;https://relictum.gallery/shared/img/ph_met_aletai_ball.jpg;https://relictum.gallery/shared/img/int_ph_met_aletai_ball.jpg;https://relictum.gallery/shared/img/ph_met_aletai_balls.jpg;До зарождения жизни;≈ 4,5 млрд лет;Алтайские горы, Китай;Общий вес шести шаров 460 г;Шар размером с ладонь, но металл в нём тот же, что в семидесяти четырёх тоннах поля Алетая, — вещество ядра одного тела, разлетевшегося над Алтайскими горами. Алетай — железный метеорит, один из крупнейших известных на Земле. Его фрагменты найдены в китайской части Алтайских гор и разбросаны на территории протяжённостью более четырёхсот километров: это крупнейшее известное метеоритное поле рассеяния. Общий вес собранного материала превышает семьдесят четыре тонны. При полировке в металле проявляется узор Видманштеттена — рисунок из кристаллов никелистого железа. Он формируется только при чрезвычайно медленном остывании, на градус за миллион лет, в недрах космического тела. Повторить его на Земле невозможно.
R-0280;Метеорит Каинсаз;Kainsaz CO3;Метеориты;Космос;2900000;RUB;in stock;В наличии;https://relictum.gallery/objects/0280-kainsaz.html;https://relictum.gallery/shared/img/ph_met_kainsaz_a.jpg;https://relictum.gallery/shared/img/int_ph_met_kainsaz_a.jpg;https://relictum.gallery/shared/img/ph_met_kainsaz_a.jpg;До зарождения жизни;≈ 4,59 млрд лет;Татарстан, Россия;95 × 85 × 75 мм, вес 686 г;Углистый хондрит никогда не был в расплаве: он собрался из холодной пыли, льда и сажи допланетного облака и с тех пор почти не изменился. Каинсаз старше Земли примерно на пятьдесят миллионов лет — это материя, из которой планеты только предстояло сложить. Углистые хондриты — одни из самых древних и химически примитивных метеоритов Солнечной системы. Они сохранили органические соединения, включая аминокислоты: вещество, из которого позже сложился химический «бульон» ранней Земли. Каинсаз сформировался около 4,59 миллиарда лет назад — примерно на пятьдесят миллионов лет раньше Земли. Это почти неизменённый фрагмент материи, из которой собиралась наша планетная система.
R-0281;Метеорит Dhofar;Dhofar;Метеориты;Космос;900000;RUB;in stock;В наличии;https://relictum.gallery/objects/0281-dhofar.html;https://relictum.gallery/shared/img/ph_met_dhofar.jpg;https://relictum.gallery/shared/img/int_ph_met_dhofar.jpg;https://relictum.gallery/shared/img/g_dhofar_260921110614.jpg;До зарождения жизни;≈ 4,5 млрд лет;Дофар, Оман;Вес 1 142 г;"Веществу около четырёх с половиной миллиардов лет: оно сложилось в небольшом теле ранней Солнечной системы и с тех пор не менялось. Путь до пустыни Дофар занял всё время существования планет. Дофар — метеорит, найденный в каменистой пустыне Омана. Пустыня сохраняет метеориты лучше любого другого ландшафта: сухой воздух и отсутствие почвы оставляют веществу шанс дожить до находки почти нетронутым. Метеориты Дофара носят имя провинции Омана, где найдены сотни экземпляров; каждый внесён под своим номером в мировой каталог метеоритов."
R-0613;Скелет пинакозавра;Pinacosaurus;Динозавры;Монументы;45000000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0613-pinacosaurus.html;https://relictum.gallery/shared/img/ph_pinacosaurus.jpg;https://relictum.gallery/shared/img/int_ph_pinacosaurus.jpg;https://relictum.gallery/shared/img/g_pina_1.jpg;Меловой период;около 80–75 млн лет;Центральная Азия;;"На равнинах Центральной Азии позднего мела среди динозавров заметен Pinacosaurus — анкилозавр, чью спину покрывали ряды костных пластин-остеодермов. Низкое широкое туловище под панцирем не оставляло хищникам удобного места для нападения. Такая защита стоила подвижности: анкилозавры выбрали броню, а не скорость. Скелет полный и передаёт характерный низкий силуэт: массивная спина в броне, короткие мощные конечности, длинный хвост. Стальной каркас скрыт внутри костяка; основание — низкая плита из чернёной стали с вертикальными стойками. Панцирные динозавры редко сохраняют остеодермы на своих местах: у большинства находок броня лежит отдельно от костяка."
R-0282;Метеорит Озерки;Ozerki L6;Метеориты;Космос;546000;RUB;in stock;В наличии;https://relictum.gallery/objects/0282-ozerki.html;https://relictum.gallery/shared/img/ph_met_ozerki_a.jpg;https://relictum.gallery/shared/img/int_ph_met_ozerki_a.jpg;https://relictum.gallery/shared/img/ph_met_ozerki_a.jpg;До зарождения жизни;≈ 4,5 млрд лет;Липецкая область, Россия;Вес 182 г;Обыкновенный хондрит спёкся в недрах каменного астероида, и хондры — застывшие капли первого вещества — так и остались в породе. Расплава, который стёр бы их, здесь никогда не было. Озерки — метеорит, упавший в Липецкой области. Камни собрали сразу после падения, до первых дождей, — поэтому первичная кора плавления дошла нетронутой. Обычно такая кора разрушается за первые же сезоны под дождём и снегом. Здесь она цела — это и есть главная ценность образца.
R-0283;Палласит Сеймчан;Seymchan Pallasite;Метеориты;Космос;6740000;RUB;in stock;В наличии;https://relictum.gallery/objects/0283-seymchan-3815.html;https://relictum.gallery/shared/img/ph_met_seymchan3815.jpg;https://relictum.gallery/shared/img/int_ph_met_seymchan3815.jpg;https://relictum.gallery/shared/img/g_seymchan_3815_260921110607.jpg;До зарождения жизни;≈ 4,56 млрд лет;Магаданская область, Россия;Вес 3 815 г;"Оливин не попадает в железо случайно: такое смешение возможно ровно в одной зоне — там, где ядро протопланеты соприкасалось с её каменной мантией. Расплавленный металл просачивался между кристаллами и застывал вместе с ними под огромным давлением. Спил показывает срез этой зоны; на Земле её не существует. Палласиты — редчайший класс метеоритов. Они рождались на границе между железным ядром и каменной мантией разрушенной протопланеты: расплавленное никелистое железо просачивалось сквозь кристаллы оливина и застывало вместе с ними. Такое возможно только там, где металл и камень встречаются под огромным давлением. Сеймчан нашли в 1967 году на севере Магаданской области, и с тех пор он считается одним из самых красивых метеоритов России. На спиле видно то, что нельзя сделать ни в одной мастерской: металлическая сетка с видманштеттеновыми линиями космической кристаллизации, в которой сидят прозрачные зёрна оливина — на просвет они загораются янтарём. Возраст вещества — около 4,56 миллиарда лет: оно старше Земли."
R-0604;Скелет пещерного медведя;Ursus spelaeus;Мамонтовая фауна;Монументы;10000000;RUB;in stock;В наличии;https://relictum.gallery/objects/cave-bear-skeleton.html;https://relictum.gallery/shared/img/ph_cavebear.jpg;https://relictum.gallery/shared/img/int_ph_cavebear.jpg;https://relictum.gallery/shared/img/g_cavebear_1.jpg;Плейстоцен;более 12 000 лет;Россия;Длина 295 см, вес около 150 кг;"Пещерный медведь Ursus spelaeus — один из крупнейших зверей ледниковой Евразии: вдвое тяжелее бурого собрата, на задних лапах — под три метра роста. При такой мощи рацион его был по большей части растительным. Зимовал он в пещерах, оставляя на стенах царапины когтей и утоптанные лежанки; подземные залы служили ему и убежищем, и последним пристанищем. Вместе с мамонтом и шерстистым носорогом он определял облик плейстоценовой фауны. Экспонат — полный скелет длиной 295 сантиметров и весом около 150 килограммов. В костяке читается фирменная диспропорция вида: мощные передние лапы при некрупных задних. Размеры выводят экземпляр в число крупнейших скелетов вида, а полнота костяка делает его пригодным для сравнительного изучения."
R-0284;Палласит Сеймчан;Seymchan Pallasite;Метеориты;Космос;1700000;RUB;in stock;В наличии;https://relictum.gallery/objects/0284-seymchan-28x31.html;https://relictum.gallery/shared/img/ph_met_seymchan28x31.jpg;https://relictum.gallery/shared/img/int_ph_met_seymchan28x31.jpg;https://relictum.gallery/shared/img/g_seymchan_28x31_260921110608.jpg;До зарождения жизни;≈ 4,56 млрд лет;Магаданская область, Россия;28 × 31 см;Оливин и железо встречаются в одном-единственном месте — на границе ядра и мантии протопланеты, где расплавленный металл пронизывал каменную породу. Крупный спил Сеймчана показывает этот слой целиком. Палласиты — редчайший класс метеоритов. Они рождались на границе между железным ядром и каменной мантией разрушенной протопланеты: расплавленное никелистое железо просачивалось сквозь кристаллы оливина и застывало вместе с ними. Такое возможно только там, где металл и камень встречаются под огромным давлением. Сеймчан нашли в 1967 году на севере Магаданской области, и с тех пор он считается одним из самых красивых метеоритов России. На спиле видно то, что нельзя сделать ни в одной мастерской: металлическая сетка с видманштеттеновыми линиями космической кристаллизации, в которой сидят прозрачные зёрна оливина — на просвет они загораются янтарём. Возраст вещества — около 4,56 миллиарда лет: оно старше Земли.
R-0614;Скелет овираптора;Oviraptoridae;Динозавры;Монументы;34000000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0614-oviraptor.html;https://relictum.gallery/shared/img/ph_oviraptor.jpg;https://relictum.gallery/shared/img/int_ph_oviraptor.jpg;https://relictum.gallery/shared/img/g_oviraptor_1.jpg;Меловой период;89,8–70,6 млн лет;Центральная Азия;;В Центральной Азии позднего мелового периода жили овирапториды — пернатые тероподы с беззубым клювом и лёгким телосложением, одни из ближайших родственников птиц среди динозавров. Имя «похититель яиц» появилось по недоразумению: первый скелет нашли на кладке, которую сочли чужой. Позднейшие находки показали, что животное высиживало собственные яйца, укрывая их телом и руками-крыльями. Экспонат относится к семейству Oviraptoridae. Скелет полный, с хорошо читаемыми элементами черепа и поясов конечностей. Овирапториды стали одним из ключевых аргументов в пользу родства динозавров и птиц: строение таза, конечностей и кисти указывает на ту же линию развития, что завершилась современными птицами.
R-0605;Череп мамонта с бивнями;Mammuthus primigenius;Мамонтовая фауна;Монументы;4500000;RUB;preorder;Под заказ;https://relictum.gallery/objects/mammoth-skull-tusks.html;https://relictum.gallery/shared/img/ph_mammoth_skull.jpg;https://relictum.gallery/shared/img/int_ph_mammoth_skull.jpg;https://relictum.gallery/shared/img/g_mammothskull_1.jpg;Плейстоцен;≈ 30 000 лет;Якутия, Россия;Размах бивней 2,4 м;"Тридцать тысяч лет назад на месте нынешней якутской тундры лежала мамонтовая степь — сухая, холодная, богатая травой. Её главным зверем был шерстистый мамонт Mammuthus primigenius. Бивни служили ему не только оружием: ими он счищал снег с мёрзлой травы и обдирал кору с редких деревьев. Мерзлота Якутии — едва ли не единственное место на планете, где кость и бивень сохраняются почти нетронутыми. Экземпляр — череп с полной парой бивней карамельной патины, размах бивней 2,4 метра. Он установлен на гранитном блоке с бронзовыми опорами; происхождение легальное, с полным пакетом экспертиз. Череп с обоими бивнями на месте встречается заметно реже, чем отдельные бивни. Документальная история находки и монументальная подача делают экспонат готовым к постоянному экспонированию."
R-0285;Палласит Сеймчан;Seymchan Pallasite;Метеориты;Космос;1500000;RUB;in stock;В наличии;https://relictum.gallery/objects/0285-seymchan-28x25.html;https://relictum.gallery/shared/img/ph_met_seymchan28x25.jpg;https://relictum.gallery/shared/img/int_ph_met_seymchan28x25.jpg;;До зарождения жизни;≈ 4,56 млрд лет;Магаданская область, Россия;28 × 25 см;Каждое зерно оливина в этом спиле когда-то плавало в жидком металле ядра. Застыли они вместе, под давлением, в толще протопланеты. Палласиты — редчайший класс метеоритов. Они рождались на границе между железным ядром и каменной мантией разрушенной протопланеты: расплавленное никелистое железо просачивалось сквозь кристаллы оливина и застывало вместе с ними. Такое возможно только там, где металл и камень встречаются под огромным давлением. Сеймчан нашли в 1967 году на севере Магаданской области, и с тех пор он считается одним из самых красивых метеоритов России. На спиле видно то, что нельзя сделать ни в одной мастерской: металлическая сетка с видманштеттеновыми линиями космической кристаллизации, в которой сидят прозрачные зёрна оливина — на просвет они загораются янтарём. Возраст вещества — около 4,56 миллиарда лет: оно старше Земли.
R-0213;Череп пситтакозавра;Psittacosaurus sp.;Динозавры;Жизнь;1900000;RUB;in stock;В наличии;https://relictum.gallery/objects/0213-psittacosaurus-skull.html;https://relictum.gallery/shared/img/ph_psittacosaurus_skull_260910132029.jpg;https://relictum.gallery/shared/img/int_ph_psittacosaurus_skull.jpg;https://relictum.gallery/shared/img/g_psitskull_1.jpg;Меловой период;≈ 125 млн лет;Провинция Ляонин, Китай;Череп ≈ 15 см;В раннемеловых лесах на территории нынешней провинции Ляонин среди растительноядных динозавров многочислен род Psittacosaurus — ранняя ветвь цератопсов, ещё без рогов и костного воротника. Высокий короткий череп с роговым клювом дал роду имя: профиль действительно напоминает попугая. Клюв и плоские листовидные зубы работали как секатор — ими ящер срезал ветви и жёсткие побеги при маленькой черепной коробке и крупных глазницах. Череп длиной около пятнадцати сантиметров найден в провинции Ляонин и датируется примерно 125 миллионами лет. Выступающие скуловые элементы читаются отчётливо. Пситтакозавр — один из самых полно изученных родов динозавров: по сотням найденных экземпляров известны все возрасты зверя, от вылупления до старости.
R-0236;Морская лилия;Traumatocrinus guanlingensis;Морские лилии;Жизнь;500000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0236-crinoid-floats.html;https://relictum.gallery/shared/img/ph_crinoid_floats.jpg;https://relictum.gallery/shared/img/int_ph_crinoid_floats.jpg;https://relictum.gallery/shared/img/g_crinoid_floats_1.jpg;Триасовый период;≈ 235 млн лет;Юньнань-Гуйчжоу, Китай;;Тёплое море покрывало юг нынешнего Китая 235 миллионов лет назад. По его поверхности дрейфовали стволы деревьев, и к ним, как ожившие цветы на длинных стеблях, крепились колонии Traumatocrinus — триасовых морских лилий. Морская лилия только выглядит растением. Это животное, родственник морских звёзд и ежей: веер перистых рук раскрывался в толще воды и процеживал её, собирая планктон, а членистый стебель держал крону на дрейфующем плавнике. Когда дерево тонуло, колония опускалась на дно и оказывалась погребённой в тонком иле — так возникли плиты формации Гуаньлин, к которой относится и этот экземпляр. Иловое захоронение сохранило этих животных с редкой полнотой: кроны, перистые руки и стебли лежат в породе рельефом, как гербарий, собранный самой геологией. Каждая плита — это одна сцена той катастрофы и одна композиция, не повторяющаяся дважды. Морские лилии этого рода исчезли вместе со своим миром, но их изящество не устарело за четверть миллиарда лет. Плита с Traumatocrinus сохраняет колонию в прижизненном положении — так, как она дрейфовала на своём стволе.
R-0607;Пара бивней мамонта;Mammuthus primigenius;Мамонтовая фауна;Монументы;11500000;RUB;in stock;В наличии;https://relictum.gallery/objects/0607-mammuthus-primigenius.html;https://relictum.gallery/shared/img/ph_mammoth_tusks.jpg;https://relictum.gallery/shared/img/int_ph_tusks.jpg;https://relictum.gallery/shared/img/g_tusks_3.jpg;Плейстоцен;10–40 тыс лет;Якутия, Россия;Длина по наружной дуге 250 см, общий вес пары 74 кг;По сухой холодной прерии позднего плейстоцена, занимавшей место нынешней якутской тундры, стада мамонтов ходили так же привычно, как сегодня ходят по ней олени. Бивень мамонта — это сильно разросшийся резец, растущий всю жизнь животного и откладывающийся слоями дентина. Симметричная пара бивней одного зверя доходит до нас редко: обычно находят одиночные. Эта пара поднята из якутской мерзлоты и сохранила природную патину и глубокий изгиб. Длина по наружной дуге — 250 сантиметров, общий вес пары — 74 килограмма. Возраст находки — от десяти до сорока тысяч лет. Пара из одной находки — редкость: чаще бивни расходятся по рукам поодиночке.
R-0274;Аммонит Speetoniceras;Speetoniceras versicolor;Аммониты;Жизнь;1500000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0274-speetoniceras.html;https://relictum.gallery/shared/img/ph_speetoniceras.jpg;https://relictum.gallery/shared/img/int_ph_speetoniceras.jpg;;Меловой период;≈ 133–130 млн лет;Поволжье, Россия;;"В раннемеловое время на месте Поволжья лежало мелководное море — рукав, тянувшийся через нынешний Казахстан к океану Тетис. Аммониты были его рядовым населением; за ними охотились плезиозавры и крупные хищные рыбы. Сто тридцать миллионов лет спустя волжские берега отдают их раковины — спиральные, с бронзовым отливом. Speetoniceras versicolor ценят за строй пропорций: виток нарастает ровно от центра к жилой камере, ребро к ребру, без сбоя ритма. Экземпляр находится у партнёров дома в Ульяновске и выставлен здесь с их согласия."
